DEPARTAMEN,PROVINCIA,DISTRITO
PUNO,HUANCANE,INCHUPALLA
PUNO,LAMPA,PUCARA
PUNO,MELGAR,NUNOA
PUNO,CARABAYA,AJOYANI
CUSCO,CANCHIS,SAN PABLO
HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA
HUANCAVELICA,HUANCAVELICA,ASCENSION
JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN
PUNO,LAMPA,PARATIA
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO
CUSCO,QUISPICANCHI,OCONGATE
JUNIN,CHUPACA,YANACANCHA
PUNO,MOHO,MOHO
PUNO,AZANGARO,CAMINACA
AREQUIPA,CONDESUYOS,SALAMANCA
PUNO,LAMPA,PALCA
AREQUIPA,CAYLLOMA,SIBAYO
PUNO,LAMPA,LAMPA
PUNO,LAMPA,NICASIO
PUNO,MOHO,HUAYRAPATA
PUNO,AZANGARO,ACHAYA
AREQUIPA,CASTILLA,CHOCO
PUNO,HUANCANE,ROSASPATA
CUSCO,ESPINAR,CONDOROMA
PUNO,LAMPA,VILAVILA
PUNO,HUANCANE,HUANCANE
PUNO,HUANCANE,VILQUE CHICO
PUNO,LAMPA,OCUVIRI
PUNO,AZANGARO,SANTIAGO DE PUPUJA
AREQUIPA,CAYLLOMA,TISCO
PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA
PUNO,HUANCANE,HUATASANI
PUNO,AZANGARO,ARAPA
PUNO,SAN ANTONIO DE PUTINA,ANANEA
PUNO,AZANGARO,MUNANI
PUNO,SAN ANTONIO DE PUTINA,PUTINA
CUSCO,CANAS,LAYO
CUSCO,CANCHIS,MARANGANI
PUNO,AZANGARO,POTONI
PUNO,MELGAR,SANTA ROSA
PUNO,SANDIA,CUYOCUYO
CUSCO,CANAS,KUNTURKANKI
CUSCO,CANAS,CHECCA
PUNO,AZANGARO,SAN ANTON
CUSCO,CHUMBIVILCAS,SANTO TOMAS
CUSCO,CANAS,LANGUI
PUNO,CARABAYA,USICAYOS
PUNO,MELGAR,LLALLI
PUNO,AZANGARO,SAN JOSE
CUSCO,ESPINAR,COPORAQUE
APURIMAC,ANTABAMBA,OROPESA
PUNO,CARABAYA,CRUCERO
PUNO,MELGAR,ANTAUTA
CUSCO,CANCHIS,SICUANI
PUNO,CARABAYA,CORANI
CUSCO,CANCHIS,PITUMARCA
PUNO,CARABAYA,MACUSANI
APURIMAC,GRAU,CURPAHUASI
CUSCO,CANCHIS,CHECACUPE
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA
HUANCAVELICA,CASTROVIRREYNA,AURAHUA
JUNIN,YAULI,MARCAPOMACOCHA
HUANCAVELICA,HUANCAVELICA,VILCA
JUNIN,CHUPACA,CHONGOS BAJO
CUSCO,QUISPICANCHI,CCARHUAYO
JUNIN,HUANCAYO,CHICCHE
CUSCO,ANTA,HUAROCONDO
JUNIN,HUANCAYO,CHONGOS ALTO
JUNIN,YAULI,SUITUCANCHA
JUNIN,JAUJA,CANCHAYLLO
JUNIN,YAULI,MOROCOCHA
JUNIN,YAULI,HUAY-HUAY
JUNIN,YAULI,YAULI
HUANCAVELICA,HUAYTARA,PILPICHACA
AYACUCHO,PAUCAR DEL SARA SARA,OYOLO
PUNO,SAN ROMAN,SAN MIGUEL
PUNO,EL COLLAO,CAPAZO
PUNO,CHUCUITO,PISACOMA
PUNO,CHUCUITO,KELLUYO
PUNO,CHUCUITO,DESAGUADERO
PUNO,EL COLLAO,SANTA ROSA
PUNO,CHUCUITO,HUACULLANI
PUNO,EL COLLAO,CONDURIRI
PUNO,CHUCUITO,ZEPITA
PUNO,CHUCUITO,POMATA
PUNO,YUNGUYO,OLLARAYA
PUNO,CHUCUITO,JULI
AREQUIPA,AREQUIPA,CAYMA
PUNO,PUNO,SAN ANTONIO
PUNO,PUNO,PICHACANI
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI
PUNO,PUNO,TIQUILLACA
AREQUIPA,CAYLLOMA,ACHOMA
AREQUIPA,CAYLLOMA,MACA
PUNO,SAN ROMAN,CABANILLAS
AREQUIPA,CAYLLOMA,YANQUE
PUNO,PUNO,COATA
AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA
PUNO,PUNO,HUATA
AREQUIPA,CASTILLA,VIRACO
AREQUIPA,CAYLLOMA,CHIVAY
AREQUIPA,CAYLLOMA,COPORAQUE
AREQUIPA,CAYLLOMA,ICHUPAMPA
PUNO,LAMPA,CABANILLA
AREQUIPA,CAYLLOMA,MADRIGAL
PUNO,SAN ROMAN,CARACOTO
PUNO,MOHO,CONIMA
AREQUIPA,CAYLLOMA,TUTI
PUNO,HUANCANE,PUSI
AREQUIPA,CAYLLOMA,LARI
PUNO,LAMPA,SANTA LUCIA
PUNO,SAN ROMAN,JULIACA
PUNO,MELGAR,UMACHIRI
CUSCO,ESPINAR,PALLPATA
PUNO,AZANGARO,AZANGARO
CUSCO,ESPINAR,ESPINAR
PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU
PUNO,MELGAR,AYAVIRI
AREQUIPA,LA UNION,PUYCA
AREQUIPA,LA UNION,HUAYNACOTAS
CUSCO,ESPINAR,ALTO PICHIGUA
AREQUIPA,CONDESUYOS,CAYARANI
CUSCO,ESPINAR,PICHIGUA
PUNO,PUNO,ACORA
PUNO,PUNO,MANAZO
PUNO,PUNO,VILQUE
AREQUIPA,CASTILLA,CHILCAYMARCA
AREQUIPA,CAYLLOMA,CALLALLI
AREQUIPA,CAYLLOMA,TAPAY
PUNO,HUANCANE,TARACO
AREQUIPA,CASTILLA,ORCOPAMPA
CUSCO,ESPINAR,SUYCKUTAMBO
AREQUIPA,CASTILLA,CHACHAS
PUNO,AZANGARO,TIRAPATA
PUNO,MELGAR,CUPI
AREQUIPA,CAYLLOMA,CAYLLOMA
PUNO,HUANCANE,COJATA
AREQUIPA,LA UNION,PAMPAMARCA
PUNO,MELGAR,ORURILLO
PUNO,MELGAR,MACARI
PUNO,EL COLLAO,ILAVE
HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA
HUANCAVELICA,CASTROVIRREYNA,SANTA ANA
PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA
CUSCO,ESPINAR,OCORURO
PUNO,HUANCANE,INCHUPALLA
PUNO,LAMPA,PUCARA
PUNO,MELGAR,NUNOA
PUNO,CARABAYA,AJOYANI
CUSCO,CANCHIS,SAN PABLO
HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA
HUANCAVELICA,HUANCAVELICA,ASCENSION
PUNO,LAMPA,CALAPUJA
PUNO,SANDIA,PATAMBUCO
JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN
PUNO,LAMPA,PARATIA
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO
CUSCO,QUISPICANCHI,OCONGATE
JUNIN,CHUPACA,YANACANCHA
PASCO,PASCO,HUAYLLAY
PUNO,MOHO,MOHO
PUNO,AZANGARO,CAMINACA
AREQUIPA,CONDESUYOS,SALAMANCA
PUNO,LAMPA,PALCA
AREQUIPA,CAYLLOMA,SIBAYO
PUNO,LAMPA,LAMPA
PUNO,LAMPA,NICASIO
PUNO,MOHO,HUAYRAPATA
PUNO,AZANGARO,ACHAYA
AREQUIPA,CASTILLA,CHOCO
PUNO,HUANCANE,ROSASPATA
CUSCO,ESPINAR,CONDOROMA
PUNO,LAMPA,VILAVILA
PUNO,HUANCANE,HUANCANE
PUNO,HUANCANE,VILQUE CHICO
PUNO,LAMPA,OCUVIRI
PUNO,AZANGARO,SANTIAGO DE PUPUJA
AREQUIPA,CAYLLOMA,TISCO
PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA
PUNO,HUANCANE,HUATASANI
PUNO,AZANGARO,ARAPA
PUNO,SAN ANTONIO DE PUTINA,ANANEA
PUNO,AZANGARO,MUNANI
PUNO,SAN ANTONIO DE PUTINA,PUTINA
CUSCO,CANAS,LAYO
CUSCO,CANCHIS,MARANGANI
PUNO,AZANGARO,POTONI
APURIMAC,GRAU,VIRUNDO
PUNO,MELGAR,SANTA ROSA
PUNO,SANDIA,CUYOCUYO
CUSCO,CANAS,KUNTURKANKI
CUSCO,CANAS,CHECCA
PUNO,AZANGARO,SAN ANTON
CUSCO,CHUMBIVILCAS,SANTO TOMAS
CUSCO,CANAS,LANGUI
PUNO,CARABAYA,USICAYOS
PUNO,MELGAR,LLALLI
PUNO,AZANGARO,SAN JOSE
CUSCO,ESPINAR,COPORAQUE
APURIMAC,ANTABAMBA,OROPESA
PUNO,CARABAYA,CRUCERO
PUNO,MELGAR,ANTAUTA
CUSCO,CANCHIS,SICUANI
PUNO,CARABAYA,CORANI
CUSCO,CANCHIS,PITUMARCA
PUNO,CARABAYA,MACUSANI
APURIMAC,GRAU,CURPAHUASI
CUSCO,CANCHIS,CHECACUPE
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA
HUANCAVELICA,CASTROVIRREYNA,AURAHUA
JUNIN,YAULI,MARCAPOMACOCHA
HUANCAVELICA,HUANCAVELICA,LARIA
HUANCAVELICA,HUANCAVELICA,VILCA
JUNIN,CHUPACA,CHONGOS BAJO
CUSCO,QUISPICANCHI,CCARHUAYO
JUNIN,JUNIN,JUNIN
JUNIN,HUANCAYO,CHICCHE
CUSCO,ANTA,HUAROCONDO
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA
JUNIN,HUANCAYO,CHONGOS ALTO
JUNIN,YAULI,SUITUCANCHA
JUNIN,JAUJA,CANCHAYLLO
JUNIN,YAULI,MOROCOCHA
JUNIN,YAULI,HUAY-HUAY
JUNIN,YAULI,YAULI
HUANCAVELICA,HUAYTARA,PILPICHACA
AYACUCHO,PAUCAR DEL SARA SARA,OYOLO
PUNO,SAN ROMAN,SAN MIGUEL
PUNO,EL COLLAO,CAPAZO
PUNO,CHUCUITO,PISACOMA
PUNO,CHUCUITO,KELLUYO
PUNO,CHUCUITO,DESAGUADERO
PUNO,EL COLLAO,SANTA ROSA
PUNO,CHUCUITO,HUACULLANI
PUNO,EL COLLAO,CONDURIRI
PUNO,CHUCUITO,ZEPITA
PUNO,YUNGUYO,COPANI
PUNO,CHUCUITO,POMATA
PUNO,YUNGUYO,OLLARAYA
PUNO,CHUCUITO,JULI
AREQUIPA,AREQUIPA,CAYMA
PUNO,PUNO,SAN ANTONIO
PUNO,PUNO,PICHACANI
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI
PUNO,PUNO,TIQUILLACA
AREQUIPA,CAYLLOMA,ACHOMA
AREQUIPA,CAYLLOMA,MACA
PUNO,SAN ROMAN,CABANILLAS
AREQUIPA,CAYLLOMA,YANQUE
PUNO,PUNO,COATA
AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA
PUNO,PUNO,HUATA
AREQUIPA,CASTILLA,VIRACO
AREQUIPA,CAYLLOMA,COPORAQUE
AREQUIPA,CAYLLOMA,ICHUPAMPA
PUNO,LAMPA,CABANILLA
AREQUIPA,CAYLLOMA,MADRIGAL
PUNO,SAN ROMAN,CARACOTO
PUNO,MOHO,CONIMA
AREQUIPA,CAYLLOMA,TUTI
PUNO,HUANCANE,PUSI
AREQUIPA,CAYLLOMA,LARI
PUNO,LAMPA,SANTA LUCIA
PUNO,SAN ROMAN,JULIACA
PUNO,MELGAR,UMACHIRI
CUSCO,ESPINAR,PALLPATA
PUNO,AZANGARO,AZANGARO
CUSCO,ESPINAR,ESPINAR
PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU
PUNO,MELGAR,AYAVIRI
AREQUIPA,LA UNION,PUYCA
AREQUIPA,LA UNION,HUAYNACOTAS
CUSCO,ESPINAR,ALTO PICHIGUA
AREQUIPA,CONDESUYOS,CAYARANI
CUSCO,ESPINAR,PICHIGUA
PUNO,PUNO,ACORA
PUNO,PUNO,MANAZO
PUNO,PUNO,VILQUE
AREQUIPA,CAYLLOMA,CALLALLI
AREQUIPA,CAYLLOMA,TAPAY
PUNO,HUANCANE,TARACO
AREQUIPA,CASTILLA,ORCOPAMPA
CUSCO,ESPINAR,SUYCKUTAMBO
AREQUIPA,CASTILLA,CHACHAS
PUNO,AZANGARO,TIRAPATA
PUNO,MELGAR,CUPI
AREQUIPA,CAYLLOMA,CAYLLOMA
PUNO,HUANCANE,COJATA
AREQUIPA,LA UNION,PAMPAMARCA
PUNO,MELGAR,ORURILLO
PUNO,MELGAR,MACARI
PUNO,EL COLLAO,ILAVE
HUANCAVELICA,HUANCAVELICA,HUACHOCOLPA
HUANCAVELICA,CASTROVIRREYNA,SANTA ANA
PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA
CUSCO,ESPINAR,OCORURO
PUNO,HUANCANE,INCHUPALLA
PUNO,LAMPA,PUCARA
PUNO,MELGAR,NUNOA
PUNO,CARABAYA,AJOYANI
CUSCO,CANCHIS,SAN PABLO
HUANCAVELICA,CASTROVIRREYNA,CHUPAMARCA
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA
HUANCAVELICA,HUANCAVELICA,ASCENSION
PUNO,LAMPA,CALAPUJA
JUNIN,YAULI,SANTA BARBARA DE CARHUACAYAN
PUNO,LAMPA,PARATIA
HUANCAVELICA,HUANCAVELICA,NUEVO OCCORO
CUSCO,QUISPICANCHI,OCONGATE
JUNIN,CHUPACA,YANACANCHA
PUNO,MOHO,MOHO
PUNO,AZANGARO,CAMINACA
AREQUIPA,CONDESUYOS,SALAMANCA
PUNO,LAMPA,PALCA
AREQUIPA,CAYLLOMA,SIBAYO
PUNO,LAMPA,LAMPA
PUNO,LAMPA,NICASIO
PUNO,MOHO,HUAYRAPATA
PUNO,AZANGARO,ACHAYA
AREQUIPA,CASTILLA,CHOCO
PUNO,HUANCANE,ROSASPATA
CUSCO,ESPINAR,CONDOROMA
PUNO,LAMPA,VILAVILA
PUNO,HUANCANE,HUANCANE
PUNO,HUANCANE,VILQUE CHICO
PUNO,LAMPA,OCUVIRI
PUNO,AZANGARO,SANTIAGO DE PUPUJA
AREQUIPA,CAYLLOMA,TISCO
PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA
PUNO,HUANCANE,HUATASANI
PUNO,AZANGARO,ARAPA
PUNO,SAN ANTONIO DE PUTINA,ANANEA
PUNO,AZANGARO,MUNANI
PUNO,SAN ANTONIO DE PUTINA,PUTINA
CUSCO,CANAS,LAYO
CUSCO,CANCHIS,MARANGANI
PUNO,AZANGARO,POTONI
PUNO,MELGAR,SANTA ROSA
PUNO,SANDIA,CUYOCUYO
CUSCO,CANAS,KUNTURKANKI
CUSCO,CANAS,CHECCA
PUNO,AZANGARO,SAN ANTON
CUSCO,CHUMBIVILCAS,SANTO TOMAS
CUSCO,CANAS,LANGUI
PUNO,CARABAYA,USICAYOS
PUNO,MELGAR,LLALLI
PUNO,AZANGARO,SAN JOSE
CUSCO,ESPINAR,COPORAQUE
APURIMAC,ANTABAMBA,OROPESA
PUNO,CARABAYA,CRUCERO
PUNO,MELGAR,ANTAUTA
CUSCO,CANCHIS,SICUANI
PUNO,CARABAYA,CORANI
CUSCO,CANCHIS,PITUMARCA
PUNO,CARABAYA,MACUSANI
CUSCO,CANCHIS,CHECACUPE
HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA
HUANCAVELICA,CASTROVIRREYNA,AURAHUA
JUNIN,YAULI,MARCAPOMACOCHA
HUANCAVELICA,HUANCAVELICA,VILCA
JUNIN,CHUPACA,CHONGOS BAJO
JUNIN,HUANCAYO,CHICCHE
CUSCO,ANTA,HUAROCONDO
JUNIN,HUANCAYO,CHONGOS ALTO
JUNIN,YAULI,SUITUCANCHA
JUNIN,JAUJA,CANCHAYLLO
JUNIN,YAULI,MOROCOCHA
JUNIN,YAULI,HUAY-HUAY
JUNIN,YAULI,YAULI
HUANCAVELICA,HUAYTARA,PILPICHACA
PUNO,SAN ROMAN,SAN MIGUEL
